0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
379	Platform 4	Door Train	2451	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	373	-1	-1	-1	436	-1	-1
380	Platform 5	Door Train	2451	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	374	-1	-1	-1	-1	444	-1
381	Platform 6	Door Train	2451	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	375	-1	-1	-1	-1	-1	452
382	Platform 1	Door Platform	2581	815	15	15	1.5	1	FALSE	FALSE	TRUE	96	"184,186,187,189"	388	-1	-1	-1	-1	-1
383	Platform 2	Door Platform	2581	938	15	15	1.5	1	FALSE	FALSE	TRUE	97	"194,196,197,199"	-1	389	-1	-1	-1	-1
384	Platform 3	Door Platform	2581	1153	15	15	1.5	1	FALSE	FALSE	TRUE	98	"204,206,207,209"	-1	-1	390	-1	-1	-1
385	Platform 4	Door Platform	2581	1431	15	15	1.5	1	FALSE	FALSE	TRUE	99	-1	-1	-1	-1	-1	-1	-1
386	Platform 5	Door Platform	2581	1623	15	15	1.5	1	FALSE	FALSE	TRUE	100	-1	-1	-1	-1	-1	-1	-1
387	Platform 6	Door Platform	2581	1754	15	15	1.5	1	FALSE	FALSE	TRUE	101	-1	-1	-1	-1	-1	-1	-1
388	Platform 1	Door Train	2581	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	382	413	-1	-1	-1	-1	-1
389	Platform 2	Door Train	2581	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	383	-1	421	-1	-1	-1	-1
390	Platform 3	Door Train	2581	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	384	-1	-1	429	-1	-1	-1
391	Platform 4	Door Train	2581	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	385	-1	-1	-1	437	-1	-1
392	Platform 5	Door Train	2581	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	386	-1	-1	-1	-1	445	-1
393	Platform 6	Door Train	2581	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	387	-1	-1	-1	-1	-1	453
394	Platform 1	Door Platform	2786	815	15	15	1.5	1	FALSE	FALSE	TRUE	102	"184,186,187,189"	400	-1	-1	-1	-1	-1
395	Platform 2	Door Platform	2786	938	15	15	1.5	1	FALSE	FALSE	TRUE	103	"194,196,197,199"	-1	401	-1	-1	-1	-1
396	Platform 3	Door Platform	2786	1153	15	15	1.5	1	FALSE	FALSE	TRUE	104	"204,206,207,209"	-1	-1	402	-1	-1	-1
397	Platform 4	Door Platform	2786	1431	15	15	1.5	1	FALSE	FALSE	TRUE	105	-1	-1	-1	-1	-1	-1	-1
398	Platform 5	Door Platform	2786	1623	15	15	1.5	1	FALSE	FALSE	TRUE	106	-1	-1	-1	-1	-1	-1	-1
399	Platform 6	Door Platform	2786	1754	15	15	1.5	1	FALSE	FALSE	TRUE	107	-1	-1	-1	-1	-1	-1	-1
400	Platform 1	Door Train	2786	757	15	15	1	1.5	FALSE	FALSE	FALSE	-1	394	413	-1	-1	-1	-1	-1
401	Platform 2	Door Train	2786	996	15	15	1	1.5	FALSE	FALSE	FALSE	-1	395	-1	421	-1	-1	-1	-1
402	Platform 3	Door Train	2786	1211	15	15	1	1.5	FALSE	FALSE	FALSE	-1	396	-1	-1	429	-1	-1	-1
403	Platform 4	Door Train	2786	1373	15	15	1	1.5	FALSE	FALSE	FALSE	-1	397	-1	-1	-1	437	-1	-1
404	Platform 5	Door Train	2786	1565	15	15	1	1.5	FALSE	FALSE	FALSE	-1	398	-1	-1	-1	-1	445	-1
405	Platform 6	Door Train	2786	1812	15	15	1	1.5	FALSE	FALSE	FALSE	-1	399	-1	-1	-1	-1	-1	453
406	Platform 1	Car 1	338	757	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
407	Platform 1	Car 2	673	757	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
408	Platform 1	Car 3	1008	757	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
409	Platform 1	Car 4	1343	757	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
410	Platform 1	Car 5	1678	757	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
411	Platform 1	Car 6	2013	757	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
412	Platform 1	Car 7	2348	757	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
413	Platform 1	Car 8	2683	757	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
414	Platform 2	Car 1	338	996	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
415	Platform 2	Car 2	673	996	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
416	Platform 2	Car 3	1008	996	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
417	Platform 2	Car 4	1343	996	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
418	Platform 2	Car 5	1678	996	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
419	Platform 2	Car 6	2013	996	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
420	Platform 2	Car 7	2348	996	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
421	Platform 2	Car 8	2683	996	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
422	Platform 3	Car 1	338	1211	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
423	Platform 3	Car 2	673	1211	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
424	Platform 3	Car 3	1008	1211	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
425	Platform 3	Car 4	1343	1211	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
426	Platform 3	Car 5	1678	1211	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
427	Platform 3	Car 6	2013	1211	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
428	Platform 3	Car 7	2348	1211	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
429	Platform 3	Car 8	2683	1211	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
430	Platform 4	Car 1	338	1373	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
431	Platform 4	Car 2	673	1373	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
432	Platform 4	Car 3	1008	1373	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
433	Platform 4	Car 4	1343	1373	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
434	Platform 4	Car 5	1678	1373	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
435	Platform 4	Car 6	2013	1373	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
436	Platform 4	Car 7	2348	1373	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
437	Platform 4	Car 8	2683	1373	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
438	Platform 5	Car 1	338	1565	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
439	Platform 5	Car 2	673	1565	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
440	Platform 5	Car 3	1008	1565	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
441	Platform 5	Car 4	1343	1565	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
442	Platform 5	Car 5	1678	1565	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
443	Platform 5	Car 6	2013	1565	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
444	Platform 5	Car 7	2348	1565	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
445	Platform 5	Car 8	2683	1565	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
446	Platform 6	Car 1	338	1812	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
447	Platform 6	Car 2	673	1812	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
448	Platform 6	Car 3	1008	1812	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
449	Platform 6	Car 4	1343	1812	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
450	Platform 6	Car 5	1678	1812	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
451	Platform 6	Car 6	2013	1812	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
452	Platform 6	Car 7	2348	1812	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
453	Platform 6	Car 8	2683	1812	150	25	1	1	FALSE	FALSE	FALSE	-1	-1	-1	-1	-1	-1	-1	-1
